CityID|Descr|StateID
1|Nicobar|1
2|North Middle Andaman|1
3|South Andaman|1
4|Anantapur|2
5|Chittoor|2
6|East Godavari|2
7|Alluri Sitarama Raju|2
8|Anakapalli|2
9|Annamaya|2
10|Bapatla|2
11|Eluru|2
12|Guntur|2
13|Kadapa|2
14|Kakinada|2
15|Konaseema|2
16|Krishna|2
17|Kurnool|2
18|Manyam|2
19|N T Rama Rao|2
20|Nandyal|2
21|Nellore|2
22|Palnadu|2
23|Prakasam|2
24|Sri Balaji|2
25|Sri Satya Sai|2
26|Srikakulam|2
27|Visakhapatnam|2
28|Vizianagaram|2
29|West Godavari|2
30|Anjaw|3
31|Changlang|3
32|Dibang Valley|3
33|East Kameng|3
34|East Siang|3
35|Kamle|3
36|Kra Daadi|3
37|Kurung Kumey|3
38|Lepa Rada|3
39|Lohit|3
40|Longding|3
41|Lower Dibang Valley|3
42|Lower Siang|3
43|Lower Subansiri|3
44|Namsai|3
45|Pakke Kessang|3
46|Papum Pare|3
47|Shi Yomi|3
48|Siang|3
49|Tawang|3
50|Tirap|3
51|Upper Siang|3
52|Upper Subansiri|3
53|West Kameng|3
54|West Siang|3
55|Baksa|4
56|Barpeta|4
57|Bongaigaon|4
58|Cachar|4
59|Charaideo|4
60|Chirang|4
61|Darrang|4
62|Dhemaji|4
63|Dhubri|4
64|Dibrugarh|4
65|Dima Hasao|4
66|Goalpara|4
67|Golaghat|4
68|Hailakandi|4
69|Jorhat|4
70|Kamrup Metropolitan|4
71|Kamrup Rural|4
72|Karbi Anglong|4
73|Karimganj|4
74|Kokrajhar|4
75|Lakhimpur|4
76|Majuli|4
77|Morigaon|4
78|Nagaon|4
79|Nalbari|4
80|Sivasagar|4
81|Sonitpur|4
82|South Salmara-Mankachar|4
83|Tinsukia|4
84|Udalguri|4
85|West Karbi Anglong|4
86|Araria|5
87|Arwal|5
88|Aurangabad|5
89|Banka|5
90|Begusarai|5
91|Bhagalpur|5
92|Bhojpur|5
93|Buxar|5
94|Darbhanga|5
95|East Champaran|5
96|Gaya|5
97|Gopalganj|5
98|Jamui|5
99|Jehanabad|5
100|Kaimur|5
101|Katihar|5
102|Khagaria|5
103|Kishanganj|5
104|Lakhisarai|5
105|Madhepura|5
106|Madhubani|5
107|Munger|5
108|Muzaffarpur|5
109|Nalanda|5
110|Nawada|5
111|Patna|5
112|Purnia|5
113|Rohtas|5
114|Saharsa|5
115|Samastipur|5
116|Saran|5
117|Sheikhpura|5
118|Sheohar|5
119|Sitamarhi|5
120|Siwan|5
121|Supaul|5
122|Vaishali|5
123|West Champaran|5
124|Chandigarh|6
125|Balod|7
126|Baloda Bazar|7
127|Balrampur|7
128|Bastar|7
129|Bemetara|7
130|Bijapur|7
131|Bilaspur|7
132|Dantewada|7
133|Dhamtari|7
134|Durg|7
135|Gariaband|7
136|Gaurela Pendra Marwahi|7
137|Janjgir Champa|7
138|Jashpur|7
139|Kabirdham|7
140|Kanker|7
141|Khairagarh|7
142|Kondagaon|7
143|Korba|7
144|Koriya|7
145|Mahasamund|7
146|Manendragarh|7
147|Mohla Manpur|7
148|Mungeli|7
149|Narayanpur|7
150|Raigarh|7
151|Raipur|7
152|Rajnandgaon|7
153|Sakti|7
154|Sarangarh Bilaigarh|7
155|Sukma|7
156|Surajpur|7
157|Surguja|7
158|Dadra and Nagar Haveli|8
159|Daman|8
160|Diu|8
161|Central Delhi|9
162|East Delhi|9
163|New Delhi|9
164|North Delhi|9
165|North East Delhi|9
166|North West Delhi|9
167|Shahdara|9
168|South Delhi|9
169|South East Delhi|9
170|South West Delhi|9
171|West Delhi|9
172|North Goa|10
173|South Goa|10
174|Ahmedabad|11
175|Amreli|11
176|Anand|11
177|Aravalli|11
178|Banaskantha|11
179|Bharuch|11
180|Bhavnagar|11
181|Botad|11
182|Chhota Udaipur|11
183|Dahod|11
184|Dang|11
185|Devbhoomi Dwarka|11
186|Gandhinagar|11
187|Gir Somnath|11
188|Jamnagar|11
189|Junagadh|11
190|Kheda|11
191|Kutch|11
192|Mahisagar|11
193|Mehsana|11
194|Morbi|11
195|Narmada|11
196|Navsari|11
197|Panchmahal|11
198|Patan|11
199|Porbandar|11
200|Rajkot|11
201|Sabarkantha|11
202|Surat|11
203|Surendranagar|11
204|Tapi|11
205|Vadodara|11
206|Valsad|11
207|Ambala|12
208|Bhiwani|12
