FunctionID|Descr
1|BFSI, Investments & Trading
2|Customer Success, Service & Operations
3|Finance & Accounting
4|Human Resources
5|IT & Information Security
6|Marketing & Communication
7|Product Management
8|Production, Manufacturing & Engineering
9|Project & Program Management
10|Quality Assurance
11|Sales & Business Development
12|UX, Design & Architecture
13|Administration & Facilities
14|Aviation & Aerospace
15|Construction & Site Engineering
16|Consulting
17|Content, Editorial & Journalism
18|CSR & Social Service
19|Energy & Mining
20|Environment Health & Safety
21|Food, Beverage & Hospitality
22|Healthcare & Life Sciences
23|Legal & Regulatory
24|Media Production & Entertainment
25|Merchandising, Retail & eCommerce
26|Procurement & Supply Chain
27|Research & Development
28|Shipping & Maritime
29|Sports, Fitness & Personal Care
30|Strategic & Top Management
31|Teaching & Training
32|Risk Management & Compliance
33|Security Services
34|OTHERS
35|Data Science & Analytics
36|Engineering - Hardware & Network
37|Engineering - Software & QA
