StateID|Descr|CountryID
1|Andaman Nicobar|1
2|Andhra Pradesh|1
3|Arunachal Pradesh|1
4|Assam|1
5|Bihar|1
6|Chandigarh|1
7|Chhattisgarh|1
8|Dadra Nagar Haveli and Daman and Diu|1
9|Delhi|1
10|Goa|1
11|Gujarat|1
12|Haryana|1
13|Himachal Pradesh|1
14|Jammu Kashmir|1
15|Jharkhand|1
16|Karnataka|1
17|Kerala|1
18|Ladakh|1
19|Lakshadweep|1
20|Madhya Pradesh|1
21|Maharashtra|1
22|Manipur|1
23|Meghalaya|1
24|Mizoram|1
25|Nagaland|1
26|Odisha|1
27|Puducherry|1
28|Punjab|1
29|Rajasthan|1
30|Sikkim|1
31|Tamil Nadu|1
32|Telangana|1
33|Tripura|1
34|Uttar Pradesh|1
35|Uttarakhand|1
36|West Bengal|1
