SubFunctionID|Descr|FunctionID
1|Any Roles|1
2|Banking Operations|1
3|Acquisition Manager|1
4|Area / Territory Manager|1
5|Asset Operations|1
6|ATM Operations Manager|1
7|Back Office Executive|1
8|Bank Teller / Clerk|1
9|Branch Manager|1
10|Branch Operations Manager|1
11|Business Correspondent|1
12|Card Operations Executive / Lead|1
13|Cashier|1
14|Personal Banker|1
15|Phone Banking Officer|1
16|Regional Manager|1
17|Relationship Manager|1
18|Sales Officer|1
19|Banking Operations - Other|1
20|General Insurance|1
21|Actuarial Analyst|1
22|Actuarial Manager|1
23|Agency Manager|1
24|Area / Territory Manager|1
25|Bancassurance Manager|1
26|Branch Manager|1
27|Claims Executive|1
28|Claims Manager|1
29|Insurance Agent / Advisor|1
30|Insurance Analyst|1
31|Insurance Operations Executive|1
32|Insurance Operations Manager|1
33|Insurance Sales / BD Manager|1
34|Pricing Manager|1
35|Regional Manager|1
36|Relationship Manager|1
37|Underwriter|1
38|General Insurance - Other|1
39|Investment Banking, Private Equity & VC|1
40|Hedge Fund Manager|1
41|Investment Banking Analyst|1
42|Investment Banking Associate|1
43|Principal / Partner / Director|1
44|Private Equity Analyst|1
45|Private Equity Associate|1
46|Venture Capital Investor|1
47|Investment Banking, Private Equity & VC - Other|1
48|Lending|1
49|Agency Development Manager|1
50|Area / Territory Manager|1
51|Collection / Recovery Manager|1
52|Collection Executive / Officer|1
53|Collection Head|1
54|Credit Analyst|1
55|Credit Manager|1
56|Debt Recovery Agent|1
57|Direct Sales Agent|1
58|KYC Analyst|1
59|Loan Officer|1
60|Microfinance Executive|1
61|Project Finance Manager|1
62|Regional Manager|1
63|Risk Analyst|1
64|Risk Manager|1
65|Sales Manager|1
66|Lending - Other|1
67|Life Insurance|1
68|Actuarial Analyst|1
69|Actuarial Manager|1
70|Agency Manager|1
71|Area / Territory Manager|1
72|Bancassurance Manager|1
73|Branch Manager|1
74|Claims Executive|1
75|Claims Manager|1
76|Insurance Agent / Advisor|1
77|Insurance Analyst|1
78|Insurance Operations Executive|1
79|Insurance Operations Manager|1
80|Insurance Sales / BD Manager|1
81|Pricing Manager|1
82|Regional Manager|1
83|Relationship Manager|1
84|Underwriter|1
85|Life Insurance - Other|1
86|Trading, Asset & Wealth Management|1
87|Asset Manager|1
88|Commodity Dealer|1
89|Cryptocurrency Trader|1
90|Derivatives Trader|1
91|Equity Dealer|1
92|Equity Research Analyst|1
93|Financial Advisor|1
94|Fixed Income Dealer|1
95|Fund Manager|1
96|Investment Advisor|1
97|MF Distributer / Advisor|1
98|Mutual Fund Operations|1
99|Portfolio Manager|1
100|Research Analyst|1
101|Sales Manager|1
102|Stock Broker|1
103|Wealth Manager|1
104|Trading, Asset & Wealth Management - Other|1
105|Treasury & Forex|1
106|Forex Dealer|1
107|Forex Manager|1
108|Treasury Analyst|1
109|Treasury Head|1
110|Treasury Manager|1
111|Treasury Operations|1
112|Treasury & Forex - Other|1
113|BFSI, Investments & Trading - Other|1
114|After Sales Service & Repair|2
115|Appliance Installer / Repairman|2
116|Electrician|2
117|Electronics Installer / Repairman|2
118|Mechanic|2
119|Plumber|2
120|Service Engineer|2
121|Service Manager|2
122|After Sales Service & Repair - Other|2
123|Back Office|2
124|Back Office Operations|2
125|Billing / Records|2
126|Data Entry / MIS|2
127|Dialer Manager|2
128|Back Office - Other|2
129|Customer Success|2
130|Customer Success Associate|2
131|Customer Success Manager|2
132|Head - Customer Success|2
133|Customer Success - Other|2
134|Non Voice|2
135|Account / Relationship Management - Non Voice|2
136|Bilingual / Multilingual Support - Non Voice|2
137|Chat Support|2
138|Customer Advocacy|2
139|Customer Onboarding - Non Voice|2
140|Customer Retention - Non Voice|2
141|Email Support|2
142|Non Tech Support - Non Voice|2
143|Technical Support - Non Voice|2
144|Non Voice - Other|2
145|Operations|2
146|Assistant Manager|2
147|Head - Operations|2
148|Operations Manager|2
149|Subject Matter Expert|2
150|Team Leader|2
151|Operations - Other|2
152|Operations Support|2
153|MIS Executive|2
154|Operations Engineer|2
155|Technical Operations (Tech Ops)|2
156|Operations Support - Other|2
157|Service Delivery|2
158|Service Delivery Associate|2
159|Service Delivery Leader|2
160|Service Delivery Manager|2
161|Service Delivery - Other|2
162|Voice / Blended|2
163|Account / Relationship Management - Voice / Blended|2
164|Bilingual / Multilingual Support - Voice / Blended|2
165|Collections|2
166|Customer Onboarding - Voice / Blended|2
167|Customer Retention - Voice / Blended|2
168|Guest Services|2
169|Non Tech Support - Voice / Blended|2
170|Technical Support - Voice / Blended|2
171|Voice / Blended - Other|2
172|Customer Success, Service & Operations - Other|2
173|Customer Service|2
174|Customer Success, Service & Operations - Other|2
175|Accounting & Taxation|3
176|Accountant / Accounts Executive|3
177|Accounts Manager|3
178|Accounts Payable Executive|3
179|Accounts Payable Manager|3
180|Accounts Receivable Executive|3
181|Accounts Receivable Manager|3
182|Cashier|3
183|Chartered Accountant (CA)|3
184|Chief Accountant|3
185|Chief Accounting Officer (CAO)|3
186|Company Secretary / Compliance Officer|3
187|Cost Accountant|3
188|Financial Accountant|3
189|Head - Taxation|3
190|Manager Taxation|3
191|Tax Analyst|3
192|Taxation Executive|3
193|Accounting & Taxation - Other|3
194|Audit & Control|3
195|Audit Executive|3
196|Audit Manager|3
197|Internal Auditor|3
198|Audit & Control - Other|3
199|Finance|3
200|Analyst - Financial Planning & Analysis|3
201|Chief Financial Officer (CFO)|3
202|Finance Executive|3
203|Finance Manager|3
204|Financial Analyst|3
205|Financial Controller|3
206|Head - Finance & Accounts|3
207|Investor Relations Officer|3
208|Manager - Financial Planning & Analysis|3
209|MIS Executive|3
210|Finance - Other|3
211|Payroll & Transactions|3
212|Billing Executive|3
213|Payroll Executive|3
214|Payroll Manager|3
215|Payroll & Transactions - Other|3
216|Treasury|3
217|Forex Officer|3
218|Treasury Analyst|3
219|Treasury Executive|3
220|Treasury Head|3
221|Treasury Manager|3
222|Treasury Operations Manager|3
223|Treasury - Other|3
224|Finance & Accounting - Other|3
